year,guest,download_rank,signals,audience_love_proxy,tyler_enjoyment_proxy,tags,guest_fame,repeat_guest,topic_AI,topic_politics,topic_economics,topic_history,topic_science,topic_arts,topic_literature,topic_music,topic_religion,topic_sports,topic_technology,topic_geography,single_subject,debate_pushback,controversy,authenticity,emotional_disclosure,humor,novelty,practical_utility,expertise_depth,obscurity,institutional_access,female_guest,accent_or_audio_friction,rapport,host_enthusiasm,prep_intensity,narrative_arc,unexpected_ending,fast_answers,long_runtime,live_or_panel,social_media_reach,production_quality,question_density,follow_up_density,why_question_rate,what_do_you_really_think_rate,production_function_phrase,first_person_rate,hedging_rate,certainty_rate,counterfactual_rate,numbers_rate,proper_noun_density,named_example_rate,technical_jargon_rate,plain_language_rate,metaphor_rate,analogy_rate,negative_polarity,positive_polarity,surprise_markers,laughter_markers,interruption_rate,short_answer_rate,long_sentence_rate,food_travel_aside_rate,guest_specific_lexicon
2019,Jordan Peterson,1,top_download,0,1,celebrity;politics;controversy;high_fame,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Knausgård,0,underrated;Tyler_highlight,1,3,literature;fatherhood;visual_moment;authenticity;obscure,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Emily Wilson,0,underrated,1,2,literature;translation;expertise;obscure;rhythmic_dialogue,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Matt Yglesias,1,top_download;first_week_record,0,2,politics;policy;high_fame;twitter_reach,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Adam Tooze,0,first_half_record,0,2,economics;history;policy;expertise,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,John Brennan,0,Tyler_personal_highlight,0,3,intelligence;UFOs;controversy;institutional_access;novelty,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Alex Ross,0,Tyler_underrated,1,2,music;arts;expertise;obscure,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jimmy Wales,0,Tyler_underrated,0,2,technology;institutional_access;moderate_tone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,John McWhorter,0,underperformed_but_underrated,0,2,language;politics;high_exposure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Amia Srinivasan,1,top_download;polarizing;high_retention,1,3,philosophy;politics;debate;controversy;female_guest;authenticity,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
